date,all_adv,all_dec,all_unch,all_nh,all_nl,all_nhl_n,all_ma20,all_ma50,all_ma200,all_upvol,all_dnvol,all_amt,all_turnover,kospi_adv,kospi_dec,kospi_unch,kospi_nh,kospi_nl,kospi_nhl_n,kospi_ma20,kospi_ma50,kospi_ma200,kospi_upvol,kospi_dnvol,kospi_amt,kospi_turnover,kosdaq_adv,kosdaq_dec,kosdaq_unch,kosdaq_nh,kosdaq_nl,kosdaq_nhl_n,kosdaq_ma20,kosdaq_ma50,kosdaq_ma200,kosdaq_upvol,kosdaq_dnvol,kosdaq_amt,kosdaq_turnover,top10_share,penny_share,top50_penny,cap_up,cap_down,kospi_close,kosdaq_close,vkospi,usdkrw,putcall,ew_close,ew_mom
2026-05-19,566,1895,213,69,323,2600,13.8525,26.9144,41.7431,10.0413,41.2625,51.4831,0.7818,178,706,58,16,95,932,14.862,27.707,46.5739,3.7405,33.9296,37.7124,0.631,388,1189,155,53,228,1668,13.3025,26.4808,39.0606,6.3008,7.3329,13.7708,2.2613,47.273,0.3731,0,9,0,7271.66,1084.36,72.51,1507.85,3.175,19913.0,12.5456
2026-05-20,318,2195,162,58,492,2600,10.8574,22.0345,37.6147,22.6503,20.9367,53.5932,0.8223,90,811,41,16,146,932,10.7219,21.9745,41.6488,15.9903,14.7767,40.7118,0.6873,228,1384,121,42,346,1668,10.9312,22.0674,35.3746,6.66,6.16,12.8814,2.1688,54.0618,0.4128,0,9,2,7208.95,1056.07,71.37,1499.77,3.311,19356.0,9.216
2026-05-21,1749,727,200,85,301,2600,14.152,26.3889,41.0394,52.789,3.6811,56.5688,0.8035,669,219,54,28,89,932,15.0743,28.1316,45.8244,42.8177,1.0534,43.9253,0.6843,1080,508,146,57,212,1668,13.6495,25.4355,38.3838,9.9713,2.6277,12.6435,2.034,52.4401,0.3025,0,17,0,7815.59,1105.97,71.33,1504.4,3.285,20420.0,14.9531
2026-05-22,2211,313,152,118,80,2601,21.0782,32.5826,45.2254,34.7492,11.4229,46.404,0.6539,786,117,39,33,26,932,21.7622,34.3949,49.6788,21.5071,9.5439,31.2774,0.4853,1425,196,113,85,54,1669,20.7056,31.5912,42.7553,13.2421,1.879,15.1266,2.3185,41.6242,0.3043,0,10,1,7847.71,1161.13,66.97,,4.881,20902.0,17.37
2026-05-26,767,1730,179,116,186,2602,21.0034,31.1562,43.5662,44.8488,11.8005,56.9339,0.7837,235,653,54,38,59,932,20.0637,31.4225,47.3233,32.7442,7.8601,40.8024,0.6177,532,1077,125,78,127,1670,21.5153,31.0105,41.4837,12.1046,3.9404,16.1315,2.4477,45.3307,0.2847,0,17,0,8047.51,1172.52,68.09,1505.4399,3.737,21081.0,18.0473
2026-05-27,255,2289,132,77,455,2603,14.6013,24.2026,38.2589,43.8383,26.6769,70.6375,0.9554,77,822,43,30,151,932,13.482,24.7346,41.7559,39.3575,16.3746,55.8296,0.8263,178,1467,89,47,304,1671,15.2111,23.9118,36.3205,4.4807,10.3023,14.8079,2.3228,54.0357,0.2918,0,10,0,8228.7,1133.13,70.78,1503.11,3.923,20763.0,15.9635
2026-05-28,571,1944,161,70,482,2604,12.018,20.2251,36.197,32.0809,34.584,66.7291,0.9089,213,676,53,24,145,932,12.2081,20.913,38.9722,27.2313,26.7534,53.994,0.8034,358,1268,108,46,337,1672,11.9144,19.8491,34.6588,4.8497,7.8306,12.7351,2.0508,53.4506,0.3746,0,12,1,8185.29,1104.36,71.6,1495.29,2.869,20519.0,14.3278
2026-05-29,479,2057,140,71,607,2604,10.3668,17.0356,33.2061,70.7508,22.1383,93.1309,1.2306,206,685,51,35,186,932,11.3588,19.1083,37.5401,67.6554,13.2619,81.1291,1.1651,273,1372,89,36,421,1672,9.8266,15.9025,30.8012,3.0954,8.8764,12.0018,1.9863,55.6294,0.3233,0,8,1,8476.15,1074.8,74.26,,5.614,20837.0,15.7893
2026-06-01,398,2154,124,69,799,2605,8.5329,14.1839,29.5038,63.5301,22.6313,86.2855,1.1026,178,728,36,33,251,933,10.4034,16.9851,34.5455,60.0269,14.1874,74.2497,1.0262,220,1426,88,36,548,1672,7.5145,12.6524,26.7062,3.5032,8.4439,12.0358,2.04,56.7369,0.2977,0,10,0,8788.38,1050.03,74.22,1511.27,4.905,21215.0,17.5466
2026-06-02,701,1829,146,58,669,2606,8.0464,12.9032,27.2137,38.7402,42.4607,81.3283,1.0395,269,632,41,24,204,933,11.1465,15.9236,31.8717,34.0963,35.9476,70.0821,0.9672,432,1197,105,34,465,1673,6.3584,11.2529,24.6291,4.644,6.5131,11.2462,1.946,59.5286,0.3489,0,8,1,8801.49,1026.03,73.6,1516.6,2.852,20613.0,13.9086
2026-06-04,1236,1280,160,58,501,2606,8.6078,13.5034,27.0992,18.6302,39.6574,58.4899,0.76,442,447,53,21,147,933,10.9342,16.6667,31.4439,9.9812,37.2511,47.4162,0.6673,794,833,107,37,354,1673,7.341,11.7749,24.6884,8.6491,2.4063,11.0737,1.8732,54.8117,0.3587,0,10,1,8639.41,1049.73,73.44,1533.0699,3.666,20673.0,13.9533
2026-06-05,584,1939,153,52,635,2606,6.6991,10.9152,24.7997,9.3913,47.4329,57.9084,0.7958,223,670,49,15,184,933,8.811,13.6943,29.4118,5.9502,41.1443,48.1705,0.7176,361,1269,104,37,451,1673,5.5491,9.3968,22.242,3.4411,6.2886,9.7379,1.7263,58.4866,0.3205,0,5,0,8160.59,1002.44,73.44,,2.314,20176.0,10.9639
2026-06-08,107,2457,112,46,1097,2606,3.7799,6.8616,19.0767,5.4766,49.9544,55.891,0.8381,40,872,30,14,349,933,4.7771,8.2803,23.5294,4.5114,42.9297,47.4411,0.7707,67,1585,82,32,748,1673,3.237,6.087,16.6074,0.9653,7.0247,8.4498,1.6471,61.4176,0.3184,0,8,1,7484.41,911.39,76.63,1528.88,1.375,18655.0,2.4353
